Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],temp_difference,power,efficiency_ratio,wear_rate,normalized_time,Product_ID_encoded,Type_encoded,failure_Heat Dissipation Failure,failure_No Failure,failure_Overstrain Failure,failure_Power Failure,failure_Random Failures,failure_Tool Wear Failure
-0.8523973761276875,-0.61035545968962,0.4307563428376032,-0.8915050118582778,1.3675990862527267,0.7985365220464633,-0.9526089592852541,-1.1643006219271828,1.7112833850908065,1.473802039529368,6581,1,False,True,False,False,False,False
-0.9023934097553371,-1.0821616589285121,-0.8410318751489733,1.3856828711272502,0.4563795776695363,0.19916212317248896,1.442936614700262,1.0480650043563242,-0.020826733708329357,-1.1911313463207738,1924,1,False,True,False,False,False,False
-0.9023934097553371,-1.4865669725617991,-0.060109285157215794,-0.8915050118582778,1.351888405070258,-0.4002122757014286,-1.2211179009517945,-0.9183091081623719,1.882694682419688,-1.1533726385269787,1996,1,False,True,False,False,False,False
0.44749949819088924,0.5354595956047504,0.3359300283386041,-0.7009033828859209,-1.5860089760514078,-0.10052507626444142,-0.7064103557270791,-0.6032191134293138,-1.462126628216212,0.37672105252983606,8822,2,False,True,False,False,False,False
0.6974796663290803,0.33325693878808776,0.17974551034025257,-0.6106184007411204,1.5718379416248212,-0.8996909414297216,-0.658345999353783,-0.16995280740167207,1.7329515178504902,0.5783317675389071,5014,1,False,True,False,False,False,False
0.2475153636803477,0.33325693878808776,-0.9247021526480902,0.7436563314308898,-0.8161855981104366,-0.0006293431188168923,0.5016444164624981,0.37379071046745743,-0.8457805972788461,0.32337388738997885,4571,1,False,True,False,False,False,False
-1.3523577124040698,-0.8125581165062826,-0.38921237665374214,0.4126113968999543,0.6606184330416307,1.4978066540660622,0.47247615120472963,-0.35167598876326045,0.3863295763262771,1.3265777201498916,9639,2,False,True,False,False,False,False
0.39750346456326807,1.1420675660547,0.648299064335307,-0.7811567003479657,-1.507455570139064,0.8984322551920878,-0.6550004297429849,-0.9689010728209396,-1.383776864751985,1.0203511358405812,5783,1,False,True,False,False,False,False
0.8474677672120007,0.602860481210279,0.3861321948380742,-0.7009033828859209,0.8177252448663187,-0.799795208284097,-0.6772715236330419,-0.24010101007383464,0.9789496438311344,-0.5166707584811498,3115,1,False,True,False,False,False,False
-0.7524053088724167,-1.216963430139608,0.6427210458353659,-1.2927715991685031,-1.491744888956595,-0.30031654255580403,-1.4857612871149495,-1.1912653112370373,-1.3288606399722735,-1.0383644643293641,2190,1,False,True,False,False,False,False
